QUESTION_TEXT,QUESTION_SLUG,HAS_ANSWER_SET,IS_MULTIPLE_RESPONSE,ANSWER_VALUE,ANSWER_TEXT,EXTRACT_COLUMN_HEADER,EXTRACT_COLUMN_VALUE,EXTRACT_COLUMN_OTHER
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,4,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,5,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIopennesstodiscussingdei,1,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,2,Disagree,15397-dibs_s2_0623_CIopennesstodiscussingdei,2,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,3,Neutral,15397-dibs_s2_0623_CIopennesstodiscussingdei,3,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,4,Agree,15397-dibs_s2_0623_CIopennesstodiscussingdei,4,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIopennesstodiscussingdei,5,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIpreparednessengageally,1,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,2,Disagree,15397-dibs_s2_0623_CIpreparednessengageally,2,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,3,Neutral,15397-dibs_s2_0623_CIpreparednessengageally,3,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,4,Agree,15397-dibs_s2_0623_CIpreparednessengageally,4,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIpreparednessengageally,5,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,1,Strongly disagree,15397-dibs_s2_0623_CImorelikelyactinclusively,1,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,2,Disagree,15397-dibs_s2_0623_CImorelikelyactinclusively,2,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,3,Neutral,15397-dibs_s2_0623_CImorelikelyactinclusively,3,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,4,Agree,15397-dibs_s2_0623_CImorelikelyactinclusively,4,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,5,Strongly Agree,15397-dibs_s2_0623_CImorelikelyactinclusively,5,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,2,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,3,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,4,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,5,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,2,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,3,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,4,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,5,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,2,Disagree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,2,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,3,Neutral,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,3,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,4,Agree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,4,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,5,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,2,Disagree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,2,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,3,Neutral,15397-dibs_s2_0623_CIreflectonmypowerprivilege,3,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,4,Agree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,4,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,5,
What did you like best about this course?????,dibs_s2_0623_likebestaboutcourse,0,0,,,dibs_s2_0623_likebestaboutcourse,,
What could we do to improve this course???,dibs_s2_0623_improvecourse,0,0,,,dibs_s2_0623_improvecourse,,
