QUESTION_TEXT,QUESTION_SLUG,HAS_ANSWER_SET,IS_MULTIPLE_RESPONSE,ANSWER_VALUE,ANSWER_TEXT,EXTRACT_COLUMN_HEADER,EXTRACT_COLUMN_VALUE,EXTRACT_COLUMN_OTHER
"My classmates value a diverse, inclusive, and equitable campus community.",15578-15579,1,0,5,Strongly agree,15578-15579,5,
I am confident in my ability to act as an ally to others at my school.??,15578-15580,1,0,1,Strongly disagree,15578-15580,1,
I am confident in my ability to act as an ally to others at my school.??,15578-15580,1,0,2,Disagree,15578-15580,2,
I am confident in my ability to act as an ally to others at my school.??,15578-15580,1,0,3,Neutral,15578-15580,3,
I am confident in my ability to act as an ally to others at my school.??,15578-15580,1,0,4,Agree,15578-15580,4,
I am confident in my ability to act as an ally to others at my school.??,15578-15580,1,0,5,Strongly agree,15578-15580,5,
"I engage with diverse opinions, cultures, and values at my school.",15578-15581,1,0,1,Strongly disagree,15578-15581,1,
"I engage with diverse opinions, cultures, and values at my school.",15578-15581,1,0,2,Disagree,15578-15581,2,
"I engage with diverse opinions, cultures, and values at my school.",15578-15581,1,0,3,Neutral,15578-15581,3,
"I engage with diverse opinions, cultures, and values at my school.",15578-15581,1,0,4,Agree,15578-15581,4,
"I engage with diverse opinions, cultures, and values at my school.",15578-15581,1,0,5,Strongly agree,15578-15581,5,
My school is an inclusive place for people with disabilities.??,15578-15582,1,0,1,Strongly disagree,15578-15582,1,
My school is an inclusive place for people with disabilities.??,15578-15582,1,0,2,Disagree,15578-15582,2,
My school is an inclusive place for people with disabilities.??,15578-15582,1,0,3,Neutral,15578-15582,3,
My school is an inclusive place for people with disabilities.??,15578-15582,1,0,4,Agree,15578-15582,4,
My school is an inclusive place for people with disabilities.??,15578-15582,1,0,5,Strongly agree,15578-15582,5,
Diversity and inclusion efforts at my school create a campus community of belonging.,15578-15583,1,0,1,Strongly disagree,15578-15583,1,
Diversity and inclusion efforts at my school create a campus community of belonging.,15578-15583,1,0,2,Disagree,15578-15583,2,
Diversity and inclusion efforts at my school create a campus community of belonging.,15578-15583,1,0,3,Neutral,15578-15583,3,
Diversity and inclusion efforts at my school create a campus community of belonging.,15578-15583,1,0,4,Agree,15578-15583,4,
Diversity and inclusion efforts at my school create a campus community of belonging.,15578-15583,1,0,5,Strongly agree,15578-15583,5,
Diversity and inclusion efforts at my school prepare students for success in their careers.,15578-15584,1,0,1,Strongly disagree,15578-15584,1,
Diversity and inclusion efforts at my school prepare students for success in their careers.,15578-15584,1,0,2,Disagree,15578-15584,2,
Diversity and inclusion efforts at my school prepare students for success in their careers.,15578-15584,1,0,3,Neutral,15578-15584,3,
Diversity and inclusion efforts at my school prepare students for success in their careers.,15578-15584,1,0,4,Agree,15578-15584,4,
Diversity and inclusion efforts at my school prepare students for success in their careers.,15578-15584,1,0,5,Strongly agree,15578-15584,5,
"My school takes diversity, equity, and inclusion issues seriously.",15578-15585,1,0,1,Strongly disagree,15578-15585,1,
"My school takes diversity, equity, and inclusion issues seriously.",15578-15585,1,0,2,Disagree,15578-15585,2,
"My school takes diversity, equity, and inclusion issues seriously.",15578-15585,1,0,3,Neutral,15578-15585,3,
"My school takes diversity, equity, and inclusion issues seriously.",15578-15585,1,0,4,Agree,15578-15585,4,
"My school takes diversity, equity, and inclusion issues seriously.",15578-15585,1,0,5,Strongly agree,15578-15585,5,
I feel like I can really be myself at my school.,15578-15586,1,0,1,Strongly disagree,15578-15586,1,
I feel like I can really be myself at my school.,15578-15586,1,0,2,Disagree,15578-15586,2,
I feel like I can really be myself at my school.,15578-15586,1,0,3,Neutral,15578-15586,3,
I feel like I can really be myself at my school.,15578-15586,1,0,4,Agree,15578-15586,4,
I feel like I can really be myself at my school.,15578-15586,1,0,5,Strongly agree,15578-15586,5,
"When I look at faculty at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,0,1,Strongly disagree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,
"When I look at faculty at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,0,2,Disagree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,2,
"When I look at faculty at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,0,3,Neutral,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,3,
"When I look at faculty at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,0,4,Agree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,4,
"When I look at faculty at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,1,0,5,Strongly agree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,5,
"When I look at staff at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,0,1,Strongly disagree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,
"When I look at staff at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,0,2,Disagree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,2,
"When I look at staff at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,0,3,Neutral,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,3,
"When I look at staff at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,0,4,Agree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,4,
"When I look at staff at my school, I see some people that include aspects of my identity.",15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,1,0,5,Strongly agree,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff,5,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,1,Sexism,dibs_s1_0623_witnessedbiasatmyschool_1,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,2,Racism,dibs_s1_0623_witnessedbiasatmyschool_2,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,3,Discrimination based on sexual orientation (homophobia),dibs_s1_0623_witnessedbiasatmyschool_3,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,4,Discrimination based on gender identity (transphobia),dibs_s1_0623_witnessedbiasatmyschool_4,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,5,Ableism (Discrimination against disabled people),dibs_s1_0623_witnessedbiasatmyschool_5,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,6,"Religious discrimination (Antisemitism, Islamophobia, etc.)",dibs_s1_0623_witnessedbiasatmyschool_6,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,7,Ageism (Discrimination based on age),dibs_s1_0623_witnessedbiasatmyschool_7,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,8,"Sizeism (Discrimination based on body weight, shape or size)",dibs_s1_0623_witnessedbiasatmyschool_8,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,9,I don?€?t understand what any of these terms mean,dibs_s1_0623_witnessedbiasatmyschool_9,1,
"I have witnessed the following types of bias at my school: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiasatmyschool,1,1,other,Other (please describe),dibs_s1_0623_witnessedbiasatmyschool_other,1,dibs_s1_0623_witnessedbiasatmyschool_other
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,1,Stepping in and separating the people involved in the situation.,15587_1,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,2,Asking the person who you?€?re concerned about if they need help.,15587_2,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,3,Confronting the person who appears to be causing the situation.,15587_3,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,4,Creating a distraction to cause one or more of the people to disengage from the situation.,15587_4,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,5,Finding the friends of those involved and asking them for help.,15587_5,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,6,Asking others to step in as a group to diffuse the situation.,15587_6,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,7,Telling someone in a position of authority about the situation.,15587_7,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,8,Following up later to check in with the person who you were concerned about.,15587_8,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,9,Talking to others about your concern.,15587_9,1,
"If you observe a situation that you believe is, or could lead to, an act of bias, which of the following behaviors would you be confident engaging in? (Select all that apply.)",15587,1,1,10,I would not be confident taking any action in this situation.,15587_10,1,
Which of the following best matches your current situation???,15588,1,0,1,I don't see diversity and inclusion as topics I need to be involved in at my school.,15588,1,
Which of the following best matches your current situation???,15588,1,0,2,I would like to learn more about diversity and inclusion at my school.,15588,2,
Which of the following best matches your current situation???,15588,1,0,3,I can play a role in making my school more inclusive.,15588,3,
Which of the following best matches your current situation???,15588,1,0,4,I am planning to play a role in making my school more inclusive.,15588,4,
Which of the following best matches your current situation???,15588,1,0,5,I am currently involved in inclusion efforts at my school.,15588,5,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,1,Sexism,dibs_s1_0623_witnessedbiaspastyear_1,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,2,Racism,dibs_s1_0623_witnessedbiaspastyear_2,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,3,Discrimination based on sexual orientation (homophobia),dibs_s1_0623_witnessedbiaspastyear_3,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,4,Discrimination based on gender identity (transphobia),dibs_s1_0623_witnessedbiaspastyear_4,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,5,Ableism (Discrimination against disabled people),dibs_s1_0623_witnessedbiaspastyear_5,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,6,"Religious discrimination (Antisemitism, Islamophobia, etc.)",dibs_s1_0623_witnessedbiaspastyear_6,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,7,Ageism (Discrimination based on age),dibs_s1_0623_witnessedbiaspastyear_7,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,8,"Sizeism (Discrimination based on body weight, shape or size)",dibs_s1_0623_witnessedbiaspastyear_8,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,9,I don?€?t understand what any of these terms mean,dibs_s1_0623_witnessedbiaspastyear_9,1,
"I have witnessed the following types of bias in the past year: (Select all that apply.) NOTE: If any of these questions are difficult or uncomfortable for you to answer, you are welcome to leave them blank. In the event that you do find them difficult to answer, we encourage you to consider seeking out support resources if needed (which are provided in this program).",dibs_s1_0623_witnessedbiaspastyear,1,1,other,Other (please describe),dibs_s1_0623_witnessedbiaspastyear_other,1,dibs_s1_0623_witnessedbiaspastyear_other
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item1,No,dibs_s1_0623_past12monthstreatedunfairly,item1,
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item2,"Yes, before I arrived at my school as a student",dibs_s1_0623_past12monthstreatedunfairly,item2,
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item3,"Yes, after I arrived at my school as a student",dibs_s1_0623_past12monthstreatedunfairly,item3,
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item4,"Yes, both before and after I arrived at my school as a student",dibs_s1_0623_past12monthstreatedunfairly,item4,
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item5,Not sure,dibs_s1_0623_past12monthstreatedunfairly,item5,
"In the past 12 months, have you been treated unfairly because of one or more aspects of your identity?",dibs_s1_0623_past12monthstreatedunfairly,1,0,item6,Prefer not to answer,dibs_s1_0623_past12monthstreatedunfairly,item6,
How old are you?,15597,1,0,1,Under 18,15597,1,
How old are you?,15597,1,0,2,18,15597,2,
How old are you?,15597,1,0,3,19,15597,3,
How old are you?,15597,1,0,4,20,15597,4,
How old are you?,15597,1,0,5,21,15597,5,
How old are you?,15597,1,0,6,22,15597,6,
How old are you?,15597,1,0,7,23,15597,7,
How old are you?,15597,1,0,8,24 or older,15597,8,
Which of these categories describe you? (Select all that apply.),15593,1,1,1,American Indian or Alaska Native,15593_1,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,2,Asian,15593_2,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,3,Black or African American,15593_3,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,4,"Hispanic, Latina/o/x, or Spanish origin",15593_4,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,5,Middle Eastern or North African,15593_5,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,6,Native Hawaiian or Other Pacific Islander,15593_6,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,7,White,15593_7,1,
Which of these categories describe you? (Select all that apply.),15593,1,1,other,Other (please describe),15593_other,1,15593_other
What pronouns do you use? (Select all that apply.),15590,1,1,1,He / Him,15590_1,1,
What pronouns do you use? (Select all that apply.),15590,1,1,2,She / Her,15590_2,1,
What pronouns do you use? (Select all that apply.),15590,1,1,3,They / Them,15590_3,1,
What pronouns do you use? (Select all that apply.),15590,1,1,other,Other (please describe),15590_other,1,15590_other
"Do you identify as trans (e.g., transgender, transsexual, a person with transitioning sex or gender history, etc.)?",15589,1,0,1,Yes,15589,1,
"Do you identify as trans (e.g., transgender, transsexual, a person with transitioning sex or gender history, etc.)?",15589,1,0,2,No,15589,2,
"Do you identify as trans (e.g., transgender, transsexual, a person with transitioning sex or gender history, etc.)?",15589,1,0,3,Not sure,15589,3,
"Do you identify as trans (e.g., transgender, transsexual, a person with transitioning sex or gender history, etc.)?",15589,1,0,4,Prefer not to answer,15589,4,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,1,Asexual,15591_1,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,2,Bisexual,15591_2,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,3,Gay,15591_3,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,4,Heterosexual or straight,15591_4,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,5,Lesbian,15591_5,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,6,Queer,15591_6,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,7,Questioning,15591_7,1,
Do you consider yourself to be?€?? (Select all that apply.),15591,1,1,other,Other (please describe),15591_other,1,15591_other
In what year of school are you enrolled?,15603,1,0,1,First-year undergraduate,15603,1,
In what year of school are you enrolled?,15603,1,0,2,Second-year undergraduate,15603,2,
In what year of school are you enrolled?,15603,1,0,3,Third-year undergraduate,15603,3,
In what year of school are you enrolled?,15603,1,0,4,Senior-year undergraduate,15603,4,
In what year of school are you enrolled?,15603,1,0,5,Graduate or professional school student,15603,5,
In what year of school are you enrolled?,15603,1,0,6,Continuing student/Adult learner/Credit student,15603,6,
In what year of school are you enrolled?,15603,1,0,7,High school student,15603,7,
In what year of school are you enrolled?,15603,1,0,8,Not a student,15603,8,
In what year of school are you enrolled?,15603,1,0,9,Prefer not to answer,15603,9,
In what year of school are you enrolled?,15603,1,0,other,Other (please describe),15603,other,15603_other
Which best describes your living arrangements this academic year?,15598,1,0,1,College residence hall,15598,1,
Which best describes your living arrangements this academic year?,15598,1,0,2,Substance-free residence hall,15598,2,
Which best describes your living arrangements this academic year?,15598,1,0,3,Fraternity or sorority house,15598,3,
Which best describes your living arrangements this academic year?,15598,1,0,4,On-campus apartment or house,15598,4,
Which best describes your living arrangements this academic year?,15598,1,0,5,Off-campus apartment or house,15598,5,
Which best describes your living arrangements this academic year?,15598,1,0,6,At my parents?€? / guardians?€? home,15598,6,
Which best describes your living arrangements this academic year?,15598,1,0,7,Prefer not to answer,15598,7,
Which best describes your living arrangements this academic year?,15598,1,0,other,Other (please describe),15598,other,15598_other
Are you an international student?,15595,1,0,1,Yes,15595,1,
Are you an international student?,15595,1,0,2,No,15595,2,
Are you an international student?,15595,1,0,3,Not sure,15595,3,
Are you an international student?,15595,1,0,4,Prefer not to answer,15595,4,
"Are you a parent, guardian, or caregiver?",15596,1,0,1,Yes,15596,1,
"Are you a parent, guardian, or caregiver?",15596,1,0,2,No,15596,2,
"Are you a parent, guardian, or caregiver?",15596,1,0,3,Not sure,15596,3,
"Are you a parent, guardian, or caregiver?",15596,1,0,4,Prefer not to answer,15596,4,
"Did you transfer, or are you transferring, to this school?",15602,1,0,1,Yes,15602,1,
"Did you transfer, or are you transferring, to this school?",15602,1,0,2,No,15602,2,
Fraternity or sorority,15599-Row 1,1,0,1,Current member,15599-Row 1,1,
Fraternity or sorority,15599-Row 1,1,0,2,Intend to join,15599-Row 1,2,
Fraternity or sorority,15599-Row 1,1,0,3,No,15599-Row 1,3,
Volunteer / community service organization,15599-Row 2,1,0,1,Current member,15599-Row 2,1,
